"Open","High","Low","Close","Contact","Open.Int","Rtn..1.Day","Rtn..1.Day.1","Rtn..2.Day","Date","Rtn..1.Day.Table","X","X.1","X.2","X.3","sma20","ema14","dn","mavg","up","pctB","rsi14","macd","signal"
1165,1165,1142.5,1144.9,244,271600,"0.53%","0.71%","3.31%","10/23/2000","","","","","",1233.0325,1201.48193427952,1115.00221034942,1233.0325,1351.06278965058,0.126653038550914,29.3009463496789,-4.9082881559002,-4.85255987762582
1136,1155,1136,1153.05,332,226800,"0.71%","2.58%","3.71%","10/24/2000","","","","","",1226.0175,1195.02434304225,1106.49299090249,1226.0175,1345.54200909751,0.194759256695738,31.499231715745,-5.04832759563472,-4.84016429112064
1164,1189.7,1164,1182.85,572,140800,"2.58%","1.09%","0.51%","10/25/2000","","","","","",1221.87,1193.40109730328,1102.39842011591,1221.87,1341.34157988409,0.336697564233028,38.9714087378087,-5.13223251443143,-4.84861848439382
1195,1196.5,1190,1195.8,112,260000,"1.09%","-0.58%","-1.74%","10/26/2000","","","","","",1216.915,1193.72095099618,1101.83023515252,1216.915,1331.99976484748,0.408263269999364,41.9355585527309,-5.07283683894807,-4.87143172578771
1205,1205,1181.3,1188.9,304,279600,"-0.58%","-1.17%","-0.61%","10/27/2000","","","","","",1213.0075,1193.07815753002,1099.70395515254,1213.0075,1326.31104484746,0.393615420274555,40.7985199251456,-4.74229028062628,-4.86074565754533
1190,1194,1174.9,1175,152,292000,"-1.17%","0.56%","2.77%","10/30/2000","","","","","",1207.6175,1190.66773652602,1097.90788203056,1207.6175,1317.32711796944,0.351346214654187,38.5319744181781,-4.54125123249179,-4.84542595241617
1179.45,1182,1164,1181.6,610,234000,"0.56%","2.20%","4.16%","10/31/2000","","","","","",1202.1625,1189.45870498922,1098.85706028359,1202.1625,1305.46793971641,0.400477167240911,40.2298968991566,-4.28815016350089,-4.79915443975513
1194.95,1210.5,1193.05,1207.6,452,200800,"2.20%","1.92%","3.44%","11/01/2000","","","","","",1197.1,1191.87754432399,1106.00133370899,1197.1,1288.19866629101,0.557629822847564,46.4995062449492,-3.87449279300057,-4.71509304823954
1209,1232,1209,1230.8,512,202000,"1.92%","1.49%","1.21%","11/02/2000","","","","","",1194.06,1197.06720508079,1112.18760782779,1194.06,1275.93239217221,0.724373558810409,51.3984854878495,-3.31305422276763,-4.54676931081129
1236,1259,1233,1249.1,836,187600,"1.49%","-0.28%","0.38%","11/03/2000","","","","","",1191.86,1204.00491107002,1118.86805112891,1191.86,1264.85194887109,0.892098038792537,54.906111514828,-2.43023991198756,-4.27143061704322
1234,1265,1160.25,1245.65,508,194000,"-0.28%","0.66%","1.64%","11/06/2000","","","","","",1190.3925,1209.55758959401,1123.19554117745,1190.3925,1257.58945882255,0.911160720427229,54.1132096054451,-1.836297420911,-3.91453837540725
1240,1257,1236.5,1253.9,416,239600,"0.66%","0.97%","1.45%","11/07/2000","","","","","",1190.8275,1215.46991098148,1122.12129594971,1190.8275,1259.53370405029,0.959001489544047,55.7585204316429,-0.955474128358869,-3.45045411028808
1261,1280,1261,1266.05,1162,225200,"0.97%","0.47%","-1.82%","11/08/2000","","","","","",1193.61,1222.21392285062,1117.8165860381,1193.61,1269.4034139619,0.977877933011528,58.1390644521194,-0.0445554273219906,-2.89175617566296
1267.05,1280,1254,1272.05,1090,262400,"0.47%","-2.28%","-4.61%","11/09/2000","","","","","",1196.5,1228.8587331372,1113.69542283183,1196.5,1279.30457716817,0.956194588413635,59.303624695235,0.891939013749399,-2.2657306985101
